From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O-Xylene,Temp,RH,WS,WD,SR,BP
18-01-2024 00:00,18-01-2024 04:00,80.64,122.15,3.2,10.47,12.67,10.12,5.75,1.06,3.06,8.78,27.17,6.62,15.14,6.88,19.95,92.72,1.09,246.43,0.62,None
18-01-2024 04:00,18-01-2024 08:00,68.02,100.32,1.63,5.71,7.23,8.21,5.52,0.59,6.87,None,None,None,None,None,19.63,91.6,0.65,156.41,6.56,None
18-01-2024 08:00,18-01-2024 12:00,70.68,104.32,0.91,5.6,6.39,7.92,13.47,0.54,49.17,4.48,4.6,1.08,2.43,0.99,22.09,71.47,1.23,99.03,138.13,None
18-01-2024 12:00,18-01-2024 16:00,71.5,110.55,1.53,8.65,7.17,6.93,14.1,0.77,81.86,4.8,8.39,1.92,3.41,1.62,26.09,66.65,0.9,122.12,129.43,None
18-01-2024 16:00,18-01-2024 20:00,72.61,125.5,3.42,13.21,8.57,3.15,28.03,0.76,58.69,5.75,10.79,2.68,4.67,2.06,24.19,66.65,1.28,92.28,21.43,None
18-01-2024 20:00,19-01-2024 00:00,69.47,103.1,1.48,14.36,8.71,2.88,21.91,0.77,46.08,6.55,8.09,1.14,3.34,1.29,21.43,66.52,0.99,104.24,3.34,None
19-01-2024 00:00,19-01-2024 04:00,55.86,81.04,1.13,8.56,5.45,1.16,23.32,0.42,58.52,3.33,2.03,0.21,0.56,0.18,20.36,65.56,0.84,110.23,8.61,None
19-01-2024 04:00,19-01-2024 08:00,52.73,77.34,0.88,10.04,6.08,1.35,6.54,0.45,49.38,3.8,2.29,0.23,0.61,0.22,17.98,70.22,0.82,159.92,9.85,None
19-01-2024 08:00,19-01-2024 12:00,62.17,93.53,2,11.22,7.3,2.07,18.56,0.48,60.44,5.76,5.39,0.68,1.65,0.62,21.1,60.3,1.31,97.98,140.74,None
19-01-2024 12:00,19-01-2024 16:00,59.92,92.15,1.37,9.55,5.84,1.62,39.97,0.52,84.19,4.45,5.47,0.99,1.96,0.99,25.52,61.29,1.25,104.83,111.39,None
19-01-2024 16:00,19-01-2024 20:00,71.32,110.97,2,15.14,9.12,2.71,26.21,0.76,68.97,5.39,10.92,2.37,4.58,3.33,24.33,67.94,1.46,107.72,17.55,None
19-01-2024 20:00,20-01-2024 00:00,89.08,124.08,2.04,14.98,9.41,2.75,22.74,0.84,44.53,8.14,12.02,3.04,6.19,3.18,21.6,71.86,1.51,102.71,0.1,None
20-01-2024 00:00,20-01-2024 04:00,71.43,100.64,0.64,10.41,6.05,0.76,16.06,0.62,36.28,5.74,4.01,0.6,1.3,0.48,18.98,73.58,1.02,112.63,1.62,None
20-01-2024 04:00,20-01-2024 08:00,61.88,78.34,1.84,10.52,5.82,1.18,18.11,0.77,32.41,5.57,3.58,0.57,1.08,0.4,17.52,75.74,0.85,171.88,5.74,None
20-01-2024 08:00,20-01-2024 12:00,94.17,130.45,2.06,18.31,11.28,3.77,57.32,1.09,30.87,8.02,7.01,1.02,2.46,1.1,20.87,75.88,1.42,126.46,132.84,None
20-01-2024 12:00,20-01-2024 16:00,85.05,122.38,1.93,15.47,9.33,3.54,35.24,0.63,68.66,5.82,7.51,1.19,3.11,1.22,26.86,65.9,1.57,179.13,127.18,None
20-01-2024 16:00,20-01-2024 20:00,71.07,115.45,16.2,38.38,32.94,12.75,18.08,1.95,27.41,8.66,26.98,7.83,16.14,9.19,25.14,73.74,1.02,194.44,24.37,None
20-01-2024 20:00,21-01-2024 00:00,100.96,172.85,40.04,35.82,50.98,19.29,23.95,2.85,16.09,14.77,54.98,18.68,37.16,18.3,22.63,82.18,1.06,154.15,6.39,None
21-01-2024 00:00,21-01-2024 04:00,90.89,127.51,1.23,8.57,4.81,1.41,21.49,0.57,38.45,5.18,4.64,0.82,2.16,0.81,19.76,81.65,0.69,123.61,3.9,None
21-01-2024 04:00,21-01-2024 08:00,81.21,106.77,0.64,8.56,5.14,1.26,9.4,0.57,24.53,None,None,None,None,None,17.77,86.83,0.98,258.72,8.92,None
21-01-2024 08:00,21-01-2024 12:00,67.93,117.43,0.73,10.01,5.91,1.57,29.47,0.61,43.76,5.33,4.44,0.77,1.67,0.68,20.73,75.78,1.01,118.24,137.77,None
21-01-2024 12:00,21-01-2024 16:00,73.38,149.37,0.86,13.32,7.43,2.32,65.29,0.84,106.97,7.48,6.69,1.35,2.06,1.01,25.93,63.91,1.05,140.05,116.31,None
21-01-2024 16:00,21-01-2024 20:00,89.9,159.97,3.21,30.68,18.6,7.04,34.65,1.21,54.49,8.12,17.14,2.55,5.03,2.28,24.34,72.09,1.23,163.42,22.32,None
21-01-2024 20:00,22-01-2024 00:00,109.12,182.23,10.86,24.39,20.92,7.79,35.74,1.03,32.58,10.85,20.32,8.35,12.67,5.87,21.12,78.04,0.87,164.24,0.2,None
22-01-2024 00:00,22-01-2024 04:00,88.51,131.32,0.65,9.55,5.6,1.03,15.78,0.63,46.71,4.7,2.71,0.33,0.89,0.31,17.96,73.87,0.84,228.9,None,None
22-01-2024 04:00,22-01-2024 08:00,62.58,91.66,1.13,9.27,5.33,0.54,7.37,0.43,31.65,3.77,3.35,0.34,0.87,0.31,15.68,76.73,1.04,249.79,6.99,None
22-01-2024 08:00,22-01-2024 12:00,71.64,128.11,0.81,10.71,6.23,5.03,31.46,0.59,55.59,4.95,4.08,0.49,1.22,0.48,20.4,64.06,1.28,111.79,142.25,None
22-01-2024 12:00,22-01-2024 16:00,86.21,157.57,1.12,13.73,7.95,7.49,39.52,0.7,83.51,5.25,8.01,0.86,2.16,0.86,25.65,64.63,1.44,145.18,133.78,None
